DEPTH,RHOB,GR,VP,Vs,NPHI
3119.1914,2.4446,105.3028,2.516453184,4.781098896,24.65
3119.3164,2.4421,102.9857,2.519955336,4.7757466079999995,24.44
3119.4414,2.4211,101.4295,2.5269322080000003,4.771128888,24.04
3119.5664,2.387,101.2598,2.53645416,4.7684405519999995,23.78
3119.6914,2.3497,102.1035,2.548079232,4.767279264,23.79
3119.8164,2.3183,103.2725,2.560987512,4.7668738799999995,24.12
3119.9414,2.2993,103.9906,2.573981136,4.766419728,24.64
3120.0664,2.2886,104.2196,2.584758864,4.766245992,24.86
3120.1914,2.28,104.3516,2.5919887200000002,4.767111624,24.26
3120.3164,2.2739,104.4044,2.595832248,4.768507608,23.31
3120.4414,2.273,104.5251,2.5975939919999997,4.770479664,22.720000000000002
3120.5664,2.2795,-1482.0627,2.59924296,4.7742347999999994,23.04
3352.5,2.1666,68.3135,3.179560824,5.114412936,20.91
3355.0,2.3419,63.3685,2.715563784,4.5648829200000005,12.91
3357.5,2.2681,65.941,2.901186984,4.5377679120000005,14.48
3357.625,2.2183,74.6824,2.9780544960000004,4.689122448,18.96
3357.75,2.2418,82.6239,3.0488534400000002,4.82253036,22.52
3357.875,2.2843,88.727,3.105037224,4.929573072,23.7
3358.0,2.2768,91.5186,3.140314776,5.002374552,22.5
3358.125,2.2686,92.4852,3.155445048,5.035009488,22.07
3358.25,2.3327,87.7761,3.160876584,5.040361776,21.64
3358.375,2.3495,81.4417,3.163196112,5.038639656,22.58
3358.5,2.3325,83.2954,3.166411752,5.036655408,25.41
3358.625,2.3103,91.3568,3.173376432,5.03881644,27.04
3358.75,2.3094,91.816,3.1855714799999997,5.047552008,21.94
3358.875,2.3365,92.6234,3.204478224,5.0632339680000005,21.55
3359.5,2.3319,100.5684,3.253624176,5.119765224,25.64
3359.625,2.3648,102.094,3.2370308640000003,5.101757640000001,25.430000000000003
3359.75,2.3272,99.2385,3.214295832,5.071612920000001,25.44
3359.875,2.3088,98.5677,3.188576808,5.034564479999999,26.19
3360.0,2.3138,99.6449,3.163071144,4.99743984,26.919999999999998
3360.125,2.2835,96.6794,3.140829888,4.967673072,26.52
3360.25,2.3409,93.344,3.12662316,4.953765048,29.439999999999998
3360.375,2.3716,90.4063,3.121316592,4.953338328,25.080000000000002
3360.5,2.3301,97.4948,3.1227522,4.962866376,23.27
3360.625,2.3005,101.4714,3.129658968,4.979983944,23.200000000000003
3360.75,2.3292,94.3178,3.140988384,5.002493424,23.31
3360.875,2.3152,90.6878,3.156271056,5.028828144,26.0
3361.25,2.2411,92.7036,3.206706312,5.115440112,22.470000000000002
3361.375,2.2512,85.2552,3.218724576,5.14240272,24.69
3361.625,2.2588,92.2028,3.2351472,5.192594136,24.959999999999997
3363.125,2.2557,89.4324,3.054745224,5.322219479999999,27.66
3363.25,2.2507,87.7615,3.0351892560000002,5.318522256,28.37
3363.375,2.2517,88.1421,3.019537776,5.314474511999999,27.08
3363.5,2.2695,93.7087,3.00755304,5.310472488,26.86
3363.625,2.227,103.7178,2.99874432,5.30670516,27.779999999999998
3363.75,2.2532,99.7512,2.993017128,5.303803464,25.419999999999998
3363.875,2.25,92.5668,2.989091304,5.302520255999999,28.74
3364.0,2.2127,88.5038,2.986723008,5.302373952,29.060000000000002
3364.125,2.1951,85.44,2.985842136,5.302623887999999,26.790000000000003
3364.25,2.2264,79.4044,2.986256664,5.302553784,25.590000000000003
3364.375,2.1854,71.4463,2.987256408,5.3018527440000005,27.32
3364.5,2.1822,69.2224,2.987503296,5.30150832,23.990000000000002
3364.625,2.1453,69.818,2.986494408,5.3021209680000005,24.02
3364.875,2.1585,70.946,2.98080684,5.305144584000001,24.560000000000002
3365.0,2.1948,75.1171,2.976941976,5.305437192,27.58
3365.125,2.2235,78.0204,2.973939696,5.30158452,25.27
3365.25,2.2017,83.3998,2.9722511039999997,5.2926569279999995,23.69
3365.375,2.1869,91.2798,2.9715988319999997,5.278413624,25.230000000000004
3365.5,2.1753,94.9027,2.9720042159999998,5.259455064,26.72
3365.625,2.1663,90.0038,2.9736196560000003,5.237402784,25.7
3365.75,2.2105,82.8989,2.9768200559999998,5.215271256,25.47
3365.875,2.2168,90.8226,2.982251592,5.197766592,25.619999999999997
3366.0,2.2401,89.5591,2.988908424,5.185879392,28.799999999999997
3366.125,2.2927,86.8605,2.995729848,5.178972624,27.42
3366.25,2.3527,88.6535,3.001728312,5.176058736,26.1
3366.5,2.4096,90.9592,3.009266016,5.177527872,26.38
3366.625,2.4137,92.9225,3.0123384,5.181194616000001,27.939999999999998
3366.75,2.4156,92.815,3.016014288,5.18606532,32.98
3367.0,2.3519,94.8224,3.024954072,5.194547904,32.440000000000005
3367.25,2.3587,98.5102,3.030263688,5.193459768,31.990000000000002
3367.375,2.3345,100.1532,3.029382816,5.189363256,30.11
3367.5,2.329,95.8522,3.025950768,5.1840384,28.46
3367.625,2.327,94.0526,3.019239072,5.178762312,27.04
